_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
698adea7d5fe59bad89e1d40,false,78.61,96.6,78.61,65.29,393;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1770708647000
698ade68d5fe59bad89e1afd,false,78.81,95.2,79.81,71.78,394;1;1;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1770708584000
698ade1fd5fe59bad89e1877,false,80.81,97.14,80.81,67.72,404;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1770708511000
698adde0d5fe59bad89e1665,false,79.81,97.12,81.01,69.88,399;1;1;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1770708448000
698adda1d5fe59bad89e1452,false,72.61,95.58,73.41,62.56,363;2;0;3,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1770708385000
698add63d5fe59bad89e1233,false,74.21,94,75.61,61.9,371;2;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1770708323000
698add24d5fe59bad89e0ff6,false,82.19,96.72,82.39,70.07,411;1;0;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1770708260000
6989a0f6d5fe59bad890bcc0,false,79.59,95.94,80.59,70.83,398;1;0;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1770627318000
6989a0b6d5fe59bad890b9f5,true,85.41,97.49,85.41,74.37,427;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1770627254000
6989a075d5fe59bad890b747,false,82.01,96.93,82.01,66.3,410;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1770627189000
6988b3c6d5fe59bad8893f00,false,78.59,97.04,78.59,69.79,393;0;0;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1770566598000
6988b36bd5fe59bad8893b93,false,78.81,96.84,78.81,72.96,394;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1770566507000
6988b327d5fe59bad88938cb,false,78.21,97.99,78.21,71.63,391;0;0;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1770566439000
6988b2e7d5fe59bad8893642,false,76.8,96.26,78.2,65.4,384;4;0;1,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1770566375000
6985bc2ed5fe59bad86eec33,false,83.02,97.89,83.02,73.07,415;0;0;0,time,60,-1,1,59.99,0,2.44,true,false,english,,normal,false,false,false,,1770372142000
6985bbdfd5fe59bad86ee913,false,69,93.88,71,67.84,345;4;1;0,time,60,-1,1,60,0,7.82,true,false,english,,normal,false,false,false,,1770372063000
